Date,Open,High,Low,Close,Turnover,Volume
2019/9/20,10397.18,10565.73,10378.74,10494.8,339,10880.38
2019/9/23,10492.11,10492.11,10284.44,10331.56,373,9947.46
2019/9/24,10346.94,10530.45,10345.11,10439.87,473,14116.23
2019/9/25,10404.76,10438.25,10321.91,10359.43,421,12278.92
2019/9/26,10403.46,10425.47,10197.28,10213.59,390,10946.62
2019/9/27,10209.7,10254.48,10104.63,10210.56,247,7338.35
2019/9/30,10197.18,10277.13,10163.44,10168.52,242,7157.53
2019/10/8,10143.05,10282.48,10143.05,10181.93,317,9142.65
2019/10/9,10177.99,10177.99,9993.74,10106.76,259,8355.11
2019/10/10,10127.13,10455.96,10121.9,10433.59,355,11991.59
2019/10/11,10488.59,10501.53,10403.41,10463.88,324,9282.32
2019/10/14,10548.88,10610.6,10534.96,10568.73,385,12257.93
2019/10/15,10592.61,10734.95,10567.97,10638.81,401,11352.02
2019/10/16,10682.03,10775.28,10647.92,10700.87,328,10857.72
2019/10/17,10723.85,10796.94,10607.18,10665.39,287,8832.56
2019/10/18,10692.28,10772.84,10583.69,10624.68,361,11569.39
2019/10/21,10619.7,10673.56,10417.03,10498.48,316,10783.12
2019/10/22,10554.74,10641.86,10521.24,10639.36,260,8119.35
2019/10/23,10619.75,10672.25,10462.38,10474.47,280,8157.94
2019/10/24,10534.79,10539.17,10365.73,10429.57,271,8720.63
2019/10/25,10529.94,10670.48,10512.29,10655.46,330,11531.15
2019/10/28,10682.84,10861.25,10680.08,10861.15,399,12449.82
2019/10/29,10838.23,10980.11,10812.78,10919.94,424,12883.43
2019/10/30,10952.45,10954.55,10817.8,10851.72,425,12365.84
2019/10/31,10891,11034.81,10838.68,10957.59,403,13914.5
2019/11/1,10951.49,11140.18,10929.05,11140.18,412,13398.26
2019/11/4,11166.6,11264.29,11147.67,11180.44,424,13246.44
2019/11/5,11191.58,11219.05,11103.79,11167.6,338,11330.24
2019/11/6,11170.37,11182.67,11113.65,11144.82,347,10837.1
2019/11/7,11165.11,11274.59,11140.59,11208.95,424,11911.51
2019/11/8,11295.1,11312.95,11202.76,11229.62,367,11468.64
2019/11/11,11177.75,11177.75,10957.55,10997.25,362,12186.68
2019/11/12,11026.92,11070.98,10944.41,11070.98,336,10251.17
2019/11/13,11085.63,11242.91,11025.86,11212.44,375,13498.63
2019/11/14,11226.71,11405.5,11226.71,11381.59,398,12471.68
2019/11/15,11377.5,11414.76,11262.13,11262.13,397,11706.26
2019/11/18,11296.73,11336.45,11242.62,11329.4,319,10853.8
2019/11/19,11336.1,11566.88,11316.48,11566.88,349,12649.77
2019/11/20,11558.21,11629.54,11481.38,11518.93,350,11954.5
2019/11/21,11495.74,11495.74,11258.59,11304.31,340,12936.03
2019/11/22,11342.74,11378.52,10862.13,10961.81,480,18462.18
2019/11/25,10963.87,11001.44,10732.19,10892.81,350,13266.35
2019/11/26,10968.25,11028.53,10895.86,11008.46,342,12190.11
2019/11/27,10977.57,10988.77,10849.85,10940.83,268,8922.25
2019/11/28,10954.56,10964.41,10872.91,10940.55,239,7423.42
2019/11/29,10924.28,10924.28,10484.71,10637.12,441,16723.99
2019/12/2,10502.42,10577.47,10443.6,10458.11,416,13303.77
2019/12/3,10428.42,10461.05,10261.82,10453.75,398,12876.73
2019/12/4,10439.35,10556.82,10405.45,10516.8,272,9248.01
2019/12/5,10556.74,10695.18,10556.7,10618.12,325,10256.32
2019/12/6,10648.32,10699.42,10594.1,10699.42,288,8767.42
2019/12/9,10718.93,10718.93,10401.66,10461.95,356,12857.8
2019/12/10,10407.39,10564.22,10395.58,10564.22,324,10381.33
2019/12/11,10595.68,10595.68,10505.12,10555.32,285,8387.35
2019/12/12,10597.3,10597.3,10499.14,10531.37,339,9382.42
2019/12/13,10590.13,10711.73,10572.13,10711.68,403,13347.72
2019/12/16,10754.47,10764.92,10667.44,10754.35,461,14444.72
2019/12/17,10742.72,10870.46,10679.37,10842.33,490,14939.31
2019/12/18,10830.21,10830.21,10663.87,10697.38,408,12980.28
